,Unnamed: 0_x,Feature,Chi2_x,Unnamed: 0_y,Chi2_y,Unnamed: 0,Chi2
0,11324,dx,481.9963653,9857,3.01,9822,6.20855615
1,11323,debrisoquin,365.5871804,9880,3.22,9841,6.64171123
2,11322,luoxetin,276.8181818,9170,1.05,8934,2.165775401
3,11321,rom,258.3636364,9072,0.98,8891,2.021390374
4,11320,ria,254.4105205,9806,2.73,11206,23.62818228
5,11319,ddct,195.7834265,9505,1.61,9473,3.320855615
6,11318,extens,181.4588359,11262,81.9019447,10772,7.814679368
7,11316,lsertralin,147.6363636,8503,0.56,8206,1.155080214
8,11317,desmethi,147.6363636,8516,0.56,8233,1.155080214
9,11315,urin,146.4163812,11033,22.82,10874,9.906258544
10,11314,poor,144.9507389,11234,61.14285714,10767,7.650425827
11,11313,metabol,119.6265114,11247,67.4626881,11247,32.97023701
12,11312,drug,117.9731527,8896,0.781270776,11320,222.634735
13,11311,af,111.2908643,8467,0.56,8239,1.155080214
14,11310,olunt,110.7272727,8189,0.42,7936,0.86631016
15,11309,urinari,99.21210415,9484,1.554612245,8957,2.251263334
16,11308,dct,98.50470219,9783,2.52,9747,5.197860963
17,11304,bef,92.27272727,7723,0.35,7562,0.721925134
18,11301,ore,92.27272727,7897,0.35,7568,0.721925134
19,11302,gmol,92.27272727,7910,0.35,7547,0.721925134
20,11303,didesipramin,92.27272727,7780,0.35,7557,0.721925134
21,11305,nglml,92.27272727,7844,0.35,7634,0.721925134
22,11306,ov,92.27272727,7874,0.35,7493,0.721925134
23,11300,oh,91.89683162,10440,11.2,10953,13.0749901
24,11299,hydroxyl,89.89525457,9339,1.361970443,9554,3.724058252
25,11298,cypnumberdnumb,85.46309513,11216,56.33574694,11203,23.03043997
26,11297,mr,81.69023095,9602,1.96,9601,4.042780749
27,11296,antonio,80.07254814,8235,0.464464286,8250,1.155080214
28,11295,aucss,74.28929691,9300,1.26,9317,2.598930481
29,11292,icient,73.81818182,7607,0.28,7133,0.577540107
30,11290,ereshefski,73.81818182,7298,0.28,7109,0.577540107
31,11291,ariat,73.81818182,7428,0.28,7395,0.577540107
32,11294,norf,73.81818182,7563,0.28,7274,0.577540107
33,11293,uthscsa,73.81818182,7318,0.28,7239,0.577540107
34,11289,pms,64.39648223,11143,33.29681445,10937,12.56149733
35,11288,137x,63.08291216,8344,0.49,8073,1.010695187
36,11287,muscular,63.08291216,8366,0.49,8131,1.010695187
37,11286,ck,57.46538289,7776,0.35,7686,0.721925134
38,11278,aess,55.36363636,7075,0.21,6658,0.43315508
39,11279,orm,55.36363636,6653,0.21,6521,0.43315508
40,11281,undetect,55.36363636,7004,0.21,6395,0.43315508
41,11277,eppendorf,55.36363636,7051,0.21,6575,0.43315508
42,11280,bl,55.36363636,6876,0.21,6738,0.43315508
43,11284,cypla2,55.36363636,6868,0.21,6352,0.43315508
44,11282,hci,55.36363636,6803,0.21,6835,0.43315508
45,11283,rac,55.36363636,6668,0.21,6363,0.43315508
46,11285,phenoti,55.36363636,6704,0.21,6462,0.43315508
47,11276,genotyp,52.93465156,10107,5.307967033,10936,12.53168792
48,11275,ter,49.52619794,8928,0.84,8781,1.732620321
49,11274,whitney,48.91636811,10386,8.915714286,8986,2.310160428
50,11273,and,44.18668713,11249,68.72137965,11316,157.9496657
51,11272,of,42.25293035,11195,45.41866804,11321,226.4413736
52,11271,mann,42.04607653,10357,7.238412698,9320,2.598930481
53,11269,myopathi,41.44708814,9491,1.590062112,9480,3.320855615
54,11267,hydrolysi,41.39336825,9879,3.22,8874,2.014415252
55,11266,hydroxydebrisoquin,38.822916,8327,0.49,8058,1.010695187
56,11265,dehydrospartein,38.822916,8322,0.49,8135,1.010695187
57,11264,ratio,37.902831,9884,3.292733591,9334,2.642258301
58,11221,hydroxyrisperidon,36.75873265,10067,4.48,11297,74.48515795
59,11220,encod,36.66494321,10370,7.731948052,8672,1.588235294
60,11219,unconjug,36.66494321,8878,0.77,8669,1.588235294
61,11218,day,35.4484414,11215,54.46252871,11202,22.83261334
62,11217,nmol,33.91627407,11207,49.84891429,11103,14.43850267
63,11216,number,33.08591031,11230,57.17812805,10897,10.24767512
65,11214,regist,33.01746529,8480,0.56,8200,1.155080214
64,11215,hudding,33.01746529,8219,0.464464286,8266,1.155080214
66,11213,dose,32.74504257,11146,33.77614022,11306,93.27877388
68,11210,norway,30.86153157,9464,1.481142857,7610,0.721925134
67,11211,challeng,30.86153157,7820,0.35,7572,0.721925134
69,11212,mdr1,30.86153157,7822,0.35,7513,0.721925134
70,11209,recoveri,30.47073124,10012,3.92,8656,1.521998698
71,11208,on,29.69919669,10352,7.137539315,11296,71.61866273
72,11207,was,28.22586232,10989,18.15372071,11301,77.82060704
73,11206,mephenytoin,26.79972659,9799,2.66,9769,5.486631016
74,11205,to,26.204339,10935,16.76577087,11303,82.05332959
75,11204,effect,25.73572502,8910,0.824499411,11079,13.93585291
76,11198,statview,24.76309897,9126,1.005952381,7910,0.86631016
77,11200,antimod,24.76309897,8143,0.42,7929,0.86631016
78,11199,dimethylxanthin,24.76309897,8163,0.42,7920,0.86631016
79,11197,dr,23.58004268,9755,2.38,8864,1.959619261
81,11192,harmacolog,23.29078967,9947,3.521904762,6760,0.43315508
86,11193,000g,23.29078967,7192,0.21,8416,1.167822011
87,11194,berkeley,23.29078967,6886,0.21,8382,1.167822011
80,11188,mahgoub,23.29078967,7218,0.21,6737,0.43315508
82,11189,spigset,23.29078967,6755,0.21,6557,0.43315508
83,11190,cessat,23.29078967,6871,0.21,6923,0.43315508
84,11191,mdrnumber,23.29078967,7147,0.21,6909,0.43315508
85,11196,cbc,23.29078967,6913,0.21,6694,0.43315508
88,11195,inv,23.29078967,6841,0.21,6705,0.43315508
89,11187,em,23.27786156,11305,178.2117066,11217,26.71122995
90,11186,mean,22.82666742,9794,2.64509725,10947,12.67472107
91,11185,for,22.73142861,11029,21.47589587,11311,103.339329
92,11184,rapid,22.64890282,7978,0.404132653,9577,3.894434541
93,11183,pharmacokinet,22.47725794,10927,16.2813973,10745,7.376857738
94,11180,moieti,20.69668413,9496,1.61,11290,67.65703928
95,11179,copenhagen,20.42255774,8325,0.49,8028,1.010695187
96,11178,hy,20.42255774,8306,0.49,8070,1.010695187
97,11177,dimethylur,20.42255774,8390,0.49,8034,1.010695187
98,11176,86,20.42255774,8283,0.49,8017,1.010695187
99,11175,interact,20.29600635,10990,18.23492205,11267,43.96129027
100,11174,by,20.01105679,10934,16.69841647,11300,75.61312289
101,11173,were,19.79851573,11145,33.39683295,11309,102.6100259
102,11172,enantiom,19.58644803,6579,0.196923077,10852,8.960192313
103,11170,polymorph,19.53506139,11316,427.7086421,10898,10.36456783
104,11169,at,19.43269134,11024,21.20280109,11289,65.79780341
105,11167,studi,19.11888138,9626,2.029363318,10868,9.31191053
106,10904,intraassay,17.51245306,9004,0.91,8832,1.877005348
107,10903,mlx,17.51245306,8991,0.91,8473,1.290141231
108,10901,scintil,17.47285926,9334,1.33,9819,6.196547519
109,10900,lundbeck,17.18069861,8497,0.56,8207,1.155080214
110,10898,higher,16.8738643,10507,14.13307506,7981,0.918218409
111,10894,concept,16.50873265,7533,0.28,9721,5.070310953
112,10897,ral,16.50873265,7559,0.28,7309,0.577540107
113,10896,p1,16.50873265,7323,0.28,7138,0.577540107
114,10895,enantiomer,16.50873265,7287,0.28,7269,0.577540107
115,10893,adsorpt,16.50873265,7410,0.28,7431,0.577540107
116,10892,void,16.50873265,7556,0.28,7263,0.577540107
117,10891,unit,16.32158148,6535,0.160240202,7456,0.609040839
118,10890,ast,15.76367475,9060,0.98,8893,2.021390374
119,10888,placebo,15.37228733,10997,18.62172673,10925,11.57643299
120,10886,with,14.81967303,10376,8.249781363,11305,88.84450719
121,10885,incorpor,14.67129422,8589,0.63,9532,3.503466033
122,10882,12,14.53992841,10366,7.720802988,8478,1.294112469
123,10880,classifi,14.25529183,9182,1.05,6949,0.481692744
124,10879,the,13.89413867,10353,7.231774456,11319,205.8693204
125,10878,littl,12.94223018,9218,1.12,7451,0.588284809
126,10875,request,12.67460815,9849,2.962285714,8596,1.443850267
127,10874,but,12.66961039,9188,1.056914286,9386,2.861564666
130,10867,valencia,12.46117331,10407,9.154571429,7527,0.721925134
131,10872,brownle,12.46117331,10402,9.154571429,7499,0.721925134
129,10869,drs,12.46117331,7909,0.35,9512,3.400633789
128,10870,multipli,12.46117331,7923,0.35,7590,0.721925134
132,10866,trial,12.25958599,10380,8.630367893,7007,0.554581821
133,10865,min,12.06643064,10422,10.20080863,10873,9.892863149
134,10864,alon,11.59605911,10364,7.642857143,11240,30.89839572
135,10862,clr,11.32154053,9557,1.75,10934,12.39850267
136,10861,or,11.31235821,11014,20.40101632,11280,49.57049396
137,10860,twice,11.16256158,9889,3.330436893,9539,3.559078314
138,10859,investig,10.79551305,8247,0.483327189,8440,1.214708757
139,10858,cid,10.51231527,10499,13.58,8574,1.426355734
140,10857,mm,10.33786204,10023,4.120540541,9659,4.670555582
141,10854,denmark,9.866570816,9311,1.33,9352,2.743315508
147,10851,radioimmunoassay,9.780862815,9125,1.005952381,8997,2.335644022
145,10847,rais,9.780862815,9147,1.005952381,7931,0.86631016
142,10844,clomipramin,9.780862815,8186,0.42,7851,0.86631016
143,10845,mail,9.780862815,8124,0.42,7955,0.86631016
144,10846,ovid,9.780862815,8067,0.42,7915,0.86631016
146,10849,venoject,9.780862815,8024,0.42,7799,0.86631016
148,10853,danish,9.780862815,8092,0.42,7788,0.86631016
